group,names,scores,logfoldchanges,pvals,pvals_adj
3,UBE2S,32.91987,1.6167341,1.1422614318266342e-237,2.9398763224732693e-234
3,SERINC5,32.82829,2.096043,2.325205313890955e-236,5.6104297717546385e-233
3,INTS6,32.20318,1.8235636,1.5931244280044424e-227,3.0752080833769755e-224
3,ANXA1,31.885672,3.683477,4.218738922631608e-223,7.081244993352863e-220
3,PLK3,31.856466,1.9902478,1.0710600054908858e-222,1.7228892738325475e-219
3,EIF4A3,31.732151,1.5699248,5.598376939753911e-221,8.312728466774595e-218
3,DNAJA1,31.684364,1.2167677,2.5514534524515014e-220,3.3966004132876777e-217
3,FYB1,31.615547,2.4023888,2.257536057578416e-219,2.905147901295744e-216
3,TUBB4B,31.611767,1.3873193,2.544478647750258e-219,3.168778795969241e-216
3,PBX4,31.354578,1.9751383,8.426829457418615e-216,9.858369031306153e-213
3,CALM1,30.96314,1.0365995,1.690853720077517e-210,1.7642459112787194e-207
3,CDC14A,30.94015,2.0490985,3.4472088273938524e-210,3.412383179240181e-207
3,INPP4B,30.902971,2.2561889,1.0895754253863422e-209,1.0015273541063125e-206
3,SRGN,30.810204,1.8594409,1.9129848613841653e-208,1.7175045013627231e-205
3,RORA,30.70638,2.2030885,4.678048835286972e-207,4.104562575797473e-204
3,CAMK4,30.487486,2.2445211,3.818165605154681e-204,3.275646696724481e-201
3,PRKCA,30.241564,2.063519,6.735667062652342e-201,5.532705587675666e-198
3,BCL11B,30.138348,2.3239338,1.5245811535988019e-199,1.2262079169965698e-196
3,HSPH1,30.11206,1.5040534,3.3687184938040527e-199,2.654137676975495e-196
3,TCF7,29.99359,1.910889,1.1896626171706321e-197,8.832329807401812e-195
3,ITK,29.921028,2.1855092,1.048377608951102e-196,7.495123327993749e-194
3,TRAF1,29.793034,2.2543359,4.8089442313730575e-195,3.2570894911647065e-192
3,STAT4,29.738525,2.289598,2.440545397719565e-194,1.6244775107648538e-191
3,HSPA1B,29.3063,1.9353576,8.621259941098241e-189,5.547206021433977e-186
3,ZC3HAV1,28.926704,1.1688644,5.511204883680042e-184,3.3772313609420904e-181
3,CD3E,28.872118,1.9589467,2.6740660647213497e-183,1.5882306845328066e-180
3,JUND,28.8139,0.8781166,1.4365203214589364e-182,8.402773262158135e-180
